"Field","Value"
"address1","Carrera 43A #5A - 113"
"address2","Piso 13-15"
"city","Medellín"
"country","Colombia"
"phone","57 18000 521 555"
"website","https://www.gruposura.com"
"industry","Insurance - Diversified"
"industryKey","insurance-diversified"
"industryDisp","Insurance - Diversified"
"sector","Financial Services"
"sectorKey","financial-services"
"sectorDisp","Financial Services"
"maxAge","86400"
"priceHint","2"
"previousClose","26000.0"
"open","26000.0"
"dayLow","25540.0"
"dayHigh","26400.0"
"regularMarketPreviousClose","26000.0"
"regularMarketOpen","26000.0"
"regularMarketDayLow","25540.0"
"regularMarketDayHigh","26400.0"
"dividendRate","1400.0"
"dividendYield","0.061300002"
"exDividendDate","1735171200"
"payoutRatio","0.082100004"
"fiveYearAvgDividendYield","4.84"
"beta","0.339"
"trailingPE","2.0295613"
"volume","354546"
"regularMarketVolume","354546"
"averageVolume","177530"
"averageVolume10days","156482"
"averageDailyVolume10Day","156482"
"bid","25600.0"
"ask","24060.0"
"marketCap","13805544275968"
"fiftyTwoWeekLow","13100.0"
"fiftyTwoWeekHigh","27800.0"
"priceToSalesTrailing12Months","0.3443392"
"fiftyDayAverage","22842.0"
"twoHundredDayAverage","22380.3"
"currency","COP"
"enterpriseValue","12645736382464"
"profitMargins","0.14618"
"floatShares","4954606"
"sharesOutstanding","112508000"
"heldPercentInsiders","0.09557"
"heldPercentInstitutions","0.62629"
"impliedSharesOutstanding","585590976"
"bookValue","52487.453"
"priceToBook","0.48659247"
"lastFiscalYearEnd","1703980800"
"nextFiscalYearEnd","1735603200"
"mostRecentQuarter","1719705600"
"netIncomeToCommon","6038362259456"
"trailingEps","12584.0"
"enterpriseToRevenue","0.315"
"enterpriseToEbitda","1.35"
"52WeekChange","0.9490255"
"SandP52WeekChange","0.23397195"
"lastDividendValue","350.0"
"lastDividendDate","1735171200"
"exchange","BVC"
"quoteType","EQUITY"
"symbol","PFGRUPSURA.CL"
"underlyingSymbol","PFGRUPSURA.CL"
"shortName","GPO DE INVERSIONES"
"longName","Grupo de Inversiones Suramericana S.A."
"firstTradeDateEpochUtc","1323181800"
"timeZoneFullName","America/New_York"
"timeZoneShortName","EST"
"uuid","83a4f2ca-121b-3e39-8b01-1fd0141b9e56"
"messageBoardId","finmb_883286"
"gmtOffSetMilliseconds","-18000000"
"currentPrice","25540.0"
"recommendationKey","none"
"totalCash","11205656707072"
"totalCashPerShare","25918.68"
"ebitda","9368894439424"
"totalDebt","11891279659008"
"quickRatio","0.624"
"currentRatio","0.689"
"totalRevenue","40092865396736"
"debtToEquity","41.192"
"revenuePerShare","92734.77"
"returnOnAssets","0.060879998"
"returnOnEquity","0.20085"
"freeCashflow","11928208408576"
"operatingCashflow","-243246006272"
"revenueGrowth","-0.012"
"grossMargins","0.46485"
"ebitdaMargins","0.23368"
"operatingMargins","0.104049996"
"financialCurrency","COP"
"trailingPegRatio",""
