"Field","Value"
"address1","Calle 12 Sur #18-168"
"city","Medellín"
"country","Colombia"
"phone","57 6 04 325 22 70"
"website","https://www.isa.co"
"industry","Utilities - Regulated Electric"
"industryKey","utilities-regulated-electric"
"industryDisp","Utilities - Regulated Electric"
"sector","Utilities"
"sectorKey","utilities"
"sectorDisp","Utilities"
"maxAge","86400"
"priceHint","2"
"previousClose","16500.0"
"open","16580.0"
"dayLow","16400.0"
"dayHigh","16580.0"
"regularMarketPreviousClose","16500.0"
"regularMarketOpen","16580.0"
"regularMarketDayLow","16400.0"
"regularMarketDayHigh","16580.0"
"dividendRate","1555.5"
"dividendYield","0.0958"
"exDividendDate","1733961600"
"payoutRatio","0.4926"
"fiveYearAvgDividendYield","4.53"
"beta","0.531"
"trailingPE","6.81247"
"forwardPE","7.344413"
"volume","4813"
"regularMarketVolume","4813"
"averageVolume","310257"
"averageVolume10days","336257"
"averageDailyVolume10Day","336257"
"bid","16300.0"
"ask","16500.0"
"marketCap","18165952151552"
"fiftyTwoWeekLow","15320.0"
"fiftyTwoWeekHigh","20340.0"
"priceToSalesTrailing12Months","1.2170419"
"fiftyDayAverage","17204.8"
"twoHundredDayAverage","17910.5"
"trailingAnnualDividendRate","1110.0"
"trailingAnnualDividendYield","0.06727273"
"currency","COP"
"enterpriseValue","56245381758976"
"profitMargins","0.17857"
"floatShares","440479191"
"sharesOutstanding","1107680000"
"heldPercentInsiders","0.65182"
"heldPercentInstitutions","0.29084"
"impliedSharesOutstanding","1110409984"
"bookValue","15801.525"
"priceToBook","1.0378745"
"lastFiscalYearEnd","1703980800"
"nextFiscalYearEnd","1735603200"
"mostRecentQuarter","1727654400"
"earningsQuarterlyGrowth","0.739"
"netIncomeToCommon","2665451880448"
"trailingEps","2407.35"
"forwardEps","2963.7"
"enterpriseToRevenue","3.768"
"enterpriseToEbitda","6.511"
"52WeekChange","0.065891504"
"SandP52WeekChange","0.26272178"
"lastDividendValue","370.0"
"lastDividendDate","1733961600"
"exchange","BVC"
"quoteType","EQUITY"
"symbol","ISA.CL"
"underlyingSymbol","ISA.CL"
"shortName","INTERCONEXION ELEC"
"longName","Interconexión Eléctrica S.A. E.S.P."
"firstTradeDateEpochUtc","998400600"
"timeZoneFullName","America/New_York"
"timeZoneShortName","EST"
"uuid","286b6047-7fe0-329c-bb9e-2e81c171373a"
"messageBoardId","finmb_874423"
"gmtOffSetMilliseconds","-18000000"
"currentPrice","16400.0"
"targetHighPrice","26500.0"
"targetLowPrice","24000.0"
"targetMeanPrice","25166.666"
"targetMedianPrice","25000.0"
"recommendationKey","none"
"numberOfAnalystOpinions","3"
"totalCash","6655999737856"
"totalCashPerShare","6008.967"
"ebitda","8638430183424"
"totalDebt","33668999413760"
"quickRatio","2.287"
"currentRatio","2.368"
"totalRevenue","14926316830720"
"debtToEquity","116.943"
"revenuePerShare","13475.323"
"returnOnAssets","0.06458"
"returnOnEquity","0.16447"
"freeCashflow","2373928615936"
"operatingCashflow","4343765925888"
"earningsGrowth","0.739"
"revenueGrowth","0.402"
"grossMargins","0.59264"
"ebitdaMargins","0.57874"
"operatingMargins","0.56187"
"financialCurrency","COP"
"trailingPegRatio",""
