"Field","Value"
"address1","Nova Tempo Building"
"address2","6th floor Carrera 43A, No 14-109"
"city","Medellín"
"country","Colombia"
"phone","57 60 4266 5757"
"website","https://mineros.com.co"
"industry","Gold"
"industryKey","gold"
"industryDisp","Gold"
"sector","Basic Materials"
"sectorKey","basic-materials"
"sectorDisp","Basic Materials"
"compensationAsOfEpochDate","1672444800"
"maxAge","86400"
"priceHint","2"
"previousClose","4235.0"
"open","4345.0"
"dayLow","4345.0"
"dayHigh","4345.0"
"regularMarketPreviousClose","4235.0"
"regularMarketOpen","4345.0"
"regularMarketDayLow","4345.0"
"regularMarketDayHigh","4345.0"
"dividendRate","297.25"
"dividendYield","0.0739"
"exDividendDate","1736294400"
"payoutRatio","0.2511"
"fiveYearAvgDividendYield","9.27"
"beta","0.977"
"trailingPE","3.397265"
"volume","22602"
"regularMarketVolume","22602"
"averageVolume","80823"
"averageVolume10days","103303"
"averageDailyVolume10Day","103303"
"bid","4300.0"
"ask","4330.0"
"marketCap","1302357213184"
"fiftyTwoWeekLow","1820.0"
"fiftyTwoWeekHigh","4595.0"
"priceToSalesTrailing12Months","2717.0369"
"fiftyDayAverage","3961.3"
"twoHundredDayAverage","3432.375"
"currency","COP"
"enterpriseValue","1204944502784"
"profitMargins","0.050300002"
"floatShares","169099853"
"sharesOutstanding","299736992"
"heldPercentInsiders","0.42403"
"heldPercentInstitutions","0.29854"
"impliedSharesOutstanding","302921984"
"bookValue","1.153"
"priceToBook","3768.4302"
"lastFiscalYearEnd","1703980800"
"nextFiscalYearEnd","1735603200"
"mostRecentQuarter","1719705600"
"earningsQuarterlyGrowth","0.44"
"netIncomeToCommon","70942000"
"trailingEps","1278.97"
"enterpriseToRevenue","2513.81"
"enterpriseToEbitda","7026.858"
"52WeekChange","1.3079019"
"SandP52WeekChange","0.26272178"
"lastDividendValue","0.01875"
"lastDividendDate","1736294400"
"exchange","BVC"
"quoteType","EQUITY"
"symbol","MINEROS.CL"
"underlyingSymbol","MINEROS.CL"
"shortName","MINEROS S.A."
"longName","Mineros S.A."
"firstTradeDateEpochUtc","999178200"
"timeZoneFullName","America/New_York"
"timeZoneShortName","EST"
"uuid","229d6b15-684e-32b2-b3ac-7ba871f6fbf1"
"messageBoardId","finmb_20502467"
"gmtOffSetMilliseconds","-18000000"
"currentPrice","4345.0"
"targetHighPrice","4500.0"
"targetLowPrice","4500.0"
"targetMeanPrice","4500.0"
"targetMedianPrice","4500.0"
"recommendationKey","none"
"numberOfAnalystOpinions","1"
"totalCash","28933000"
"totalCashPerShare","0.097"
"ebitda","171476992"
"totalDebt","29123000"
"quickRatio","0.798"
"currentRatio","1.495"
"totalRevenue","479329984"
"debtToEquity","8.323"
"revenuePerShare","1.599"
"returnOnAssets","0.12526"
"returnOnEquity","0.20104"
"freeCashflow","85956248"
"operatingCashflow","74476000"
"earningsGrowth","0.44"
"revenueGrowth","0.144"
"grossMargins","0.3076"
"ebitdaMargins","0.35773998"
"operatingMargins","0.25280002"
"financialCurrency","USD"
"trailingPegRatio",""
