"Field","Value"
"address1","Avenida El Dorado No. 68B - 31"
"address2","10th Floor"
"city","Bogotá"
"country","Colombia"
"phone","18000 123 322"
"website","https://www.grupobolivar.com.co"
"industry","Asset Management"
"industryKey","asset-management"
"industryDisp","Asset Management"
"sector","Financial Services"
"sectorKey","financial-services"
"sectorDisp","Financial Services"
"fullTimeEmployees","26269"
"maxAge","86400"
"priceHint","2"
"previousClose","58740.0"
"open","59420.0"
"dayLow","59420.0"
"dayHigh","59940.0"
"regularMarketPreviousClose","58740.0"
"regularMarketOpen","59420.0"
"regularMarketDayLow","59420.0"
"regularMarketDayHigh","59940.0"
"dividendRate","2484.0"
"dividendYield","0.041100003"
"exDividendDate","1733788800"
"payoutRatio","1.6466"
"fiveYearAvgDividendYield","3.57"
"beta","0.626"
"trailingPE","16.274776"
"volume","2289"
"regularMarketVolume","2289"
"averageVolume","4283"
"averageVolume10days","5111"
"averageDailyVolume10Day","5111"
"bid","59240.0"
"ask","59940.0"
"marketCap","4712596766720"
"fiftyTwoWeekLow","51000.0"
"fiftyTwoWeekHigh","71980.0"
"priceToSalesTrailing12Months","0.8495871"
"fiftyDayAverage","59647.6"
"twoHundredDayAverage","61360.6"
"currency","COP"
"enterpriseValue","36506106331136"
"profitMargins","0.03756"
"floatShares","36006734"
"sharesOutstanding","75638704"
"heldPercentInsiders","0.86568"
"heldPercentInstitutions","0.00088"
"impliedSharesOutstanding","79106704"
"bookValue","161094.6"
"priceToBook","0.37207952"
"lastFiscalYearEnd","1703980800"
"nextFiscalYearEnd","1735603200"
"mostRecentQuarter","1719705600"
"earningsQuarterlyGrowth","11.1"
"netIncomeToCommon","208357998592"
"trailingEps","3683.0"
"enterpriseToRevenue","6.581"
"52WeekChange","-0.0040691495"
"SandP52WeekChange","0.26578724"
"lastDividendValue","207.0"
"lastDividendDate","1741651200"
"exchange","BVC"
"quoteType","EQUITY"
"symbol","GRUBOLIVAR.CL"
"underlyingSymbol","GRUBOLIVAR.CL"
"shortName","GRUPO BOLIVAR SA"
"longName","Grupo Bolívar S.A."
"firstTradeDateEpochUtc","998400600"
"timeZoneFullName","America/New_York"
"timeZoneShortName","EST"
"uuid","b2354c4a-7d6d-354d-8d64-6689ea34fd06"
"messageBoardId","finmb_20388557"
"gmtOffSetMilliseconds","-18000000"
"currentPrice","59940.0"
"recommendationKey","none"
"totalCash","13637198544896"
"totalCashPerShare","172652.53"
"totalDebt","38787119841280"
"totalRevenue","5546926145536"
"revenuePerShare","69657.47"
"returnOnAssets","-0.00064000004"
"returnOnEquity","-0.00684"
"operatingCashflow","-3620980129792"
"earningsGrowth","11.109"
"revenueGrowth","0.171"
"operatingMargins","-0.01873"
"financialCurrency","COP"
"trailingPegRatio",""
