"Field","Value"
"address1","Carrera 13 No. 26A – 47"
"address2","23rd Floor"
"city","Bogotá"
"country","Colombia"
"phone","57 601 743 3222"
"website","https://www.grupoaval.com"
"industry","Banks - Regional"
"industryKey","banks-regional"
"industryDisp","Banks - Regional"
"sector","Financial Services"
"sectorKey","financial-services"
"sectorDisp","Financial Services"
"maxAge","86400"
"priceHint","2"
"previousClose","445.0"
"open","448.0"
"dayLow","448.0"
"dayHigh","449.0"
"regularMarketPreviousClose","445.0"
"regularMarketOpen","448.0"
"regularMarketDayLow","448.0"
"regularMarketDayHigh","449.0"
"dividendRate","24.0"
"dividendYield","0.0558"
"exDividendDate","1732579200"
"payoutRatio","1.8752999"
"fiveYearAvgDividendYield","7.11"
"beta","0.498"
"trailingPE","13.037167"
"forwardPE","4.927075"
"volume","116217"
"regularMarketVolume","116217"
"averageVolume","1623921"
"averageVolume10days","1831327"
"averageDailyVolume10Day","1831327"
"bid","449.0"
"ask","450.0"
"marketCap","10595411689472"
"fiftyTwoWeekLow","406.0"
"fiftyTwoWeekHigh","528.0"
"priceToSalesTrailing12Months","0.98396397"
"fiftyDayAverage","446.18"
"twoHundredDayAverage","439.54"
"currency","COP"
"enterpriseValue","58108827140096"
"profitMargins","0.04326"
"floatShares","4070344049"
"sharesOutstanding","7542260224"
"heldPercentInsiders","0.49372002"
"heldPercentInstitutions","0.29459998"
"impliedSharesOutstanding","24042799104"
"bookValue","706.833"
"priceToBook","0.63522786"
"lastFiscalYearEnd","1703980800"
"nextFiscalYearEnd","1735603200"
"mostRecentQuarter","1719705600"
"earningsQuarterlyGrowth","0.229"
"netIncomeToCommon","465775001600"
"trailingEps","34.44"
"forwardEps","91.42"
"lastSplitFactor","14.72333:13.72333"
"lastSplitDate","1653350400"
"enterpriseToRevenue","5.396"
"52WeekChange","-0.08247423"
"SandP52WeekChange","0.26272178"
"lastDividendValue","2.0"
"lastDividendDate","1740441600"
"exchange","BVC"
"quoteType","EQUITY"
"symbol","PFAVAL.CL"
"underlyingSymbol","PFAVAL.CL"
"shortName","GRUPO AVAL ACCIONE"
"longName","Grupo Aval Acciones y Valores S.A."
"firstTradeDateEpochUtc","1305293400"
"timeZoneFullName","America/New_York"
"timeZoneShortName","EST"
"uuid","ea4eec74-b85f-3b7d-b733-8e02c1163bcf"
"messageBoardId","finmb_12724130"
"gmtOffSetMilliseconds","-18000000"
"currentPrice","449.0"
"targetHighPrice","550.0"
"targetLowPrice","500.0"
"targetMeanPrice","520.0"
"targetMedianPrice","510.0"
"recommendationMean","3.33333"
"recommendationKey","hold"
"numberOfAnalystOpinions","3"
"totalCash","34388005879808"
"totalCashPerShare","1448.314"
"totalDebt","66971609595904"
"totalRevenue","10768089088000"
"revenuePerShare","453.518"
"returnOnAssets","0.00518"
"returnOnEquity","0.05098"
"operatingCashflow","-12879574073344"
"earningsGrowth","0.229"
"revenueGrowth","-0.025"
"operatingMargins","0.30145"
"financialCurrency","COP"
"trailingPegRatio",""
