"Field","Value"
"address1","carrera 53"
"address2","No 106–280 Centro Empresarial Buenavista Piso 17, Buenavista"
"city","Barranquilla"
"country","Colombia"
"website","https://www.argos.co"
"fullTimeEmployees","7000"
"maxAge","86400"
"priceHint","2"
"previousClose","9590.0"
"open","9600.0"
"dayLow","9600.0"
"dayHigh","9600.0"
"regularMarketPreviousClose","9590.0"
"regularMarketOpen","9600.0"
"regularMarketDayLow","9600.0"
"regularMarketDayHigh","9600.0"
"beta","0.746"
"volume","4398"
"regularMarketVolume","4398"
"averageVolume","8086"
"averageVolume10days","2703"
"averageDailyVolume10Day","2703"
"bid","9600.0"
"ask","9750.0"
"bidSize","1000"
"askSize","1000"
"fiftyTwoWeekLow","6700.0"
"fiftyTwoWeekHigh","9870.0"
"fiftyDayAverage","8149.6"
"twoHundredDayAverage","8097.0176"
"currency","COP"
"enterpriseValue","12781968424960"
"profitMargins","0.43932"
"floatShares","537446643"
"bookValue","7187.61"
"priceToBook","1.3356317"
"lastFiscalYearEnd","1703980800"
"nextFiscalYearEnd","1735603200"
"mostRecentQuarter","1719705600"
"earningsQuarterlyGrowth","-0.207"
"netIncomeToCommon","490948984832"
"enterpriseToRevenue","1.013"
"enterpriseToEbitda","5.998"
"52WeekChange","0.22634268"
"SandP52WeekChange","0.23397195"
"exchange","BVC"
"quoteType","EQUITY"
"symbol","PFCEMARGOS.CL"
"underlyingSymbol","PFCEMARGOS.CL"
"shortName","CEMENTOS ARGOS SA"
"longName","Cementos Argos S.A."
"firstTradeDateEpochUtc","1727443800"
"timeZoneFullName","America/New_York"
"timeZoneShortName","EST"
"uuid","b76c39f7-6927-3736-b045-9194c5431ea1"
"messageBoardId","finmb_877756"
"gmtOffSetMilliseconds","-18000000"
"currentPrice","9600.0"
"recommendationKey","none"
"totalCash","2760201994240"
"totalCashPerShare","2097.294"
"ebitda","2131092045824"
"totalDebt","5425453858816"
"quickRatio","0.924"
"currentRatio","1.167"
"totalRevenue","12611732111360"
"debtToEquity","41.315"
"revenuePerShare","10594.037"
"returnOnAssets","0.04744"
"returnOnEquity","0.04757"
"freeCashflow","1256512815104"
"operatingCashflow","1576129003520"
"earningsGrowth","-0.264"
"revenueGrowth","-0.011"
"grossMargins","0.22829"
"ebitdaMargins","0.16898"
"operatingMargins","0.111190006"
"financialCurrency","COP"
"trailingPegRatio",""
