"Field","Value"
"address1","Carrera 13 #26-45"
"address2","8th Floor"
"city","Bogotá"
"country","Colombia"
"phone","57 1 286 3300"
"fax","57 1 353 8834"
"website","https://www.corficolombiana.com"
"industry","Asset Management"
"industryKey","asset-management"
"industryDisp","Asset Management"
"sector","Financial Services"
"sectorKey","financial-services"
"sectorDisp","Financial Services"
"fullTimeEmployees","9944"
"maxAge","86400"
"priceHint","2"
"previousClose","14540.0"
"open","14840.0"
"dayLow","14560.0"
"dayHigh","14840.0"
"regularMarketPreviousClose","14540.0"
"regularMarketOpen","14840.0"
"regularMarketDayLow","14560.0"
"regularMarketDayHigh","14840.0"
"dividendRate","456.0"
"dividendYield","0.0296"
"exDividendDate","1707177600"
"payoutRatio","0.90550005"
"fiveYearAvgDividendYield","3.72"
"beta","0.524"
"trailingPE","17.35482"
"volume","21769"
"regularMarketVolume","21769"
"averageVolume","86821"
"averageVolume10days","40189"
"averageDailyVolume10Day","40189"
"bid","14560.0"
"ask","14600.0"
"marketCap","5537124057088"
"fiftyTwoWeekLow","11800.0"
"fiftyTwoWeekHigh","17240.0"
"priceToSalesTrailing12Months","0.58027077"
"fiftyDayAverage","14980.4"
"twoHundredDayAverage","14160.2"
"currency","COP"
"enterpriseValue","21804710100992"
"profitMargins","0.03859"
"floatShares","102021974"
"sharesOutstanding","346404000"
"heldPercentInsiders","0.77165"
"heldPercentInstitutions","0.0995"
"impliedSharesOutstanding","380296992"
"bookValue","33028.746"
"priceToBook","0.4408281"
"lastFiscalYearEnd","1703980800"
"nextFiscalYearEnd","1735603200"
"mostRecentQuarter","1719705600"
"netIncomeToCommon","368259989504"
"trailingEps","838.96"
"lastSplitFactor","13.389381:12.389381"
"lastSplitDate","1652745600"
"enterpriseToRevenue","2.285"
"52WeekChange","0.18211377"
"SandP52WeekChange","0.2421279"
"lastDividendValue","456.0"
"lastDividendDate","1701129600"
"exchange","BVC"
"quoteType","EQUITY"
"symbol","CORFICOLCF.CL"
"underlyingSymbol","CORFICOLCF.CL"
"shortName","CORFICOLOMBIANA"
"longName","Corporación Financiera Colombiana S.A."
"firstTradeDateEpochUtc","1175607000"
"timeZoneFullName","America/New_York"
"timeZoneShortName","EST"
"uuid","71406d43-8afe-30a0-9024-cd38ed19a2e5"
"messageBoardId","finmb_874064"
"gmtOffSetMilliseconds","-18000000"
"currentPrice","14560.0"
"targetHighPrice","27800.0"
"targetLowPrice","18500.0"
"targetMeanPrice","23150.0"
"targetMedianPrice","23150.0"
"recommendationKey","none"
"numberOfAnalystOpinions","2"
"totalCash","6120487780352"
"totalCashPerShare","16739.53"
"totalDebt","18833616142336"
"totalRevenue","9542311084032"
"revenuePerShare","26098.21"
"returnOnAssets","0.01877"
"returnOnEquity","0.069520004"
"operatingCashflow","-282185990144"
"revenueGrowth","-0.134"
"operatingMargins","0.17588"
"financialCurrency","COP"
"trailingPegRatio",""
