"Field","Value"
"address1","Avenida El Dorado"
"address2","No. 68C-61"
"city","Bogotá"
"country","Colombia"
"phone","57 6 01 338 3838"
"website","https://www.davivienda.com"
"industry","Banks - Regional"
"industryKey","banks-regional"
"industryDisp","Banks - Regional"
"sector","Financial Services"
"sectorKey","financial-services"
"sectorDisp","Financial Services"
"fullTimeEmployees","17962"
"maxAge","86400"
"priceHint","2"
"previousClose","17820.0"
"open","17700.0"
"dayLow","17500.0"
"dayHigh","17700.0"
"regularMarketPreviousClose","17820.0"
"regularMarketOpen","17700.0"
"regularMarketDayLow","17500.0"
"regularMarketDayHigh","17700.0"
"dividendRate","1010.0"
"dividendYield","0.056700002"
"exDividendDate","1694044800"
"payoutRatio","0.31"
"fiveYearAvgDividendYield","3.26"
"beta","0.673"
"volume","9680"
"regularMarketVolume","9680"
"averageVolume","34599"
"averageVolume10days","43949"
"averageDailyVolume10Day","43949"
"bid","17600.0"
"ask","17800.0"
"marketCap","8572550250496"
"fiftyTwoWeekLow","17200.0"
"fiftyTwoWeekHigh","23420.0"
"priceToSalesTrailing12Months","2.0996733"
"fiftyDayAverage","18533.2"
"twoHundredDayAverage","19526.7"
"currency","COP"
"enterpriseValue","21627469299712"
"forwardPE","5.060375"
"profitMargins","-0.24992001"
"floatShares","100206516"
"sharesOutstanding","116601000"
"heldPercentInsiders","0.16994"
"heldPercentInstitutions","0.59595"
"impliedSharesOutstanding","489860000"
"bookValue","32248.97"
"priceToBook","0.54265296"
"lastFiscalYearEnd","1703980800"
"nextFiscalYearEnd","1735603200"
"mostRecentQuarter","1719705600"
"netIncomeToCommon","-1020364980224"
"trailingEps","-1165.43"
"enterpriseToRevenue","5.297"
"52WeekChange","0.005643368"
"SandP52WeekChange","0.2421279"
"lastDividendValue","505.0"
"lastDividendDate","1694044800"
"exchange","BVC"
"quoteType","EQUITY"
"symbol","PFDAVVNDA.CL"
"underlyingSymbol","PFDAVVNDA.CL"
"shortName","BANCO DAVIVIENDA S"
"longName","Banco Davivienda S.A."
"firstTradeDateEpochUtc","1286285400"
"timeZoneFullName","America/New_York"
"timeZoneShortName","EST"
"uuid","06607d61-afd0-30c0-8418-3b7a02ccd59a"
"messageBoardId","finmb_11515380"
"gmtOffSetMilliseconds","-18000000"
"currentPrice","17500.0"
"targetHighPrice","23000.0"
"targetLowPrice","20000.0"
"targetMeanPrice","21060.0"
"targetMedianPrice","20800.0"
"recommendationKey","none"
"numberOfAnalystOpinions","5"
"totalCash","21757639524352"
"totalCashPerShare","44615.46"
"totalDebt","34359333617664"
"totalRevenue","4082802098176"
"revenuePerShare","8692.674"
"returnOnAssets","-0.0054699997"
"returnOnEquity","-0.064"
"operatingCashflow","-3533346963456"
"revenueGrowth","-0.147"
"operatingMargins","-0.16693"
"financialCurrency","COP"
"trailingPegRatio",""
