"Field","Value"
"address1","215 - 9th Avenue SW"
"address2","Suite 2000"
"city","Calgary"
"state","AB"
"zip","T2P 1K3"
"country","Canada"
"phone","403 561 1648"
"website","https://canacolenergy.com"
"industry","Oil & Gas E&P"
"industryKey","oil-gas-e-p"
"industryDisp","Oil & Gas E&P"
"sector","Energy"
"sectorKey","energy"
"sectorDisp","Energy"
"fullTimeEmployees","396"
"auditRisk","1"
"boardRisk","6"
"compensationRisk","3"
"shareHolderRightsRisk","2"
"overallRisk","3"
"governanceEpochDate","1735689600"
"compensationAsOfEpochDate","1703980800"
"maxAge","86400"
"priceHint","2"
"previousClose","11100.0"
"dayLow","11100.0"
"dayHigh","11100.0"
"regularMarketPreviousClose","11100.0"
"regularMarketDayLow","11100.0"
"regularMarketDayHigh","11100.0"
"dividendRate","3075.66"
"dividendYield","0.28219998"
"exDividendDate","1703721600"
"payoutRatio","0.2925"
"fiveYearAvgDividendYield","9.25"
"beta","0.838"
"trailingPE","3.7271712"
"forwardPE","4743.59"
"volume","221"
"regularMarketVolume","221"
"averageVolume","17316"
"averageVolume10days","8707"
"averageDailyVolume10Day","8707"
"bid","11120.0"
"ask","11380.0"
"bidSize","4000"
"marketCap","408517738496"
"fiftyTwoWeekLow","8900.0"
"fiftyTwoWeekHigh","20200.0"
"priceToSalesTrailing12Months","1149.7178"
"fiftyDayAverage","10979.8"
"twoHundredDayAverage","12228.75"
"trailingAnnualDividendRate","0.211"
"trailingAnnualDividendYield","1.9009009e-05"
"currency","COP"
"enterpriseValue","379169243136"
"profitMargins","0.0636"
"floatShares","19845518"
"sharesOutstanding","34111000"
"heldPercentInsiders","0.19804001"
"heldPercentInstitutions","0.23367001"
"impliedSharesOutstanding","36803400"
"bookValue","10.156"
"priceToBook","1092.95"
"lastFiscalYearEnd","1703980800"
"nextFiscalYearEnd","1735603200"
"mostRecentQuarter","1727654400"
"netIncomeToCommon","22599000"
"trailingEps","2978.13"
"forwardEps","7739.71"
"lastSplitFactor","1:5"
"lastSplitDate","1674172800"
"enterpriseToRevenue","1067.12"
"enterpriseToEbitda","1538.181"
"52WeekChange","-0.43367344"
"SandP52WeekChange","0.25443196"
"lastDividendValue","0.26"
"lastDividendDate","1703721600"
"exchange","BVC"
"quoteType","EQUITY"
"symbol","CNEC.CL"
"underlyingSymbol","CNEC.CL"
"shortName","CANACOL ENERGY LTD"
"longName","Canacol Energy Ltd"
"firstTradeDateEpochUtc","1279805400"
"timeZoneFullName","America/New_York"
"timeZoneShortName","EST"
"uuid","45f40d2c-15b1-36e0-9b3a-d5678ae26b78"
"messageBoardId","finmb_3171755"
"gmtOffSetMilliseconds","-18000000"
"currentPrice","11100.0"
"recommendationMean","3.33333"
"recommendationKey","hold"
"totalCash","67141000"
"totalCashPerShare","1.969"
"ebitda","246504992"
"totalDebt","726393984"
"quickRatio","1.455"
"currentRatio","1.505"
"totalRevenue","355320000"
"debtToEquity","209.68"
"revenuePerShare","10.417"
"returnOnAssets","0.089379996"
"returnOnEquity","0.06697"
"freeCashflow","-58979500"
"operatingCashflow","148184000"
"revenueGrowth","0.195"
"grossMargins","0.79328"
"ebitdaMargins","0.69375"
"operatingMargins","0.63003"
"financialCurrency","USD"
"trailingPegRatio",""
