"Field","Value"
"address1","Cra. 43 A"
"address2","Piso 5 No. 1 A Sur 143, Torre Sur Antioquia"
"city","Medellín"
"country","Colombia"
"website","https://www.celsia.com"
"industry","Utilities - Renewable"
"industryKey","utilities-renewable"
"industryDisp","Utilities - Renewable"
"sector","Utilities"
"sectorKey","utilities"
"sectorDisp","Utilities"
"maxAge","86400"
"priceHint","2"
"previousClose","3620.0"
"open","3630.0"
"dayLow","3630.0"
"dayHigh","3675.0"
"regularMarketPreviousClose","3620.0"
"regularMarketOpen","3630.0"
"regularMarketDayLow","3630.0"
"regularMarketDayHigh","3675.0"
"dividendRate","310.0"
"dividendYield","0.0829"
"exDividendDate","1737072000"
"payoutRatio","0.8713"
"fiveYearAvgDividendYield","6.09"
"beta","0.476"
"trailingPE","10.770542"
"forwardPE","17.165472"
"volume","94693"
"regularMarketVolume","94693"
"averageVolume","225811"
"averageVolume10days","171805"
"averageDailyVolume10Day","171805"
"bid","3665.0"
"ask","3665.0"
"bidSize","1400"
"marketCap","3908136075264"
"fiftyTwoWeekLow","2960.0"
"fiftyTwoWeekHigh","4390.0"
"priceToSalesTrailing12Months","0.60692847"
"fiftyDayAverage","3662.6"
"twoHundredDayAverage","3973.775"
"currency","COP"
"enterpriseValue","10708282507264"
"profitMargins","0.02981"
"floatShares","466084473"
"sharesOutstanding","1066339968"
"heldPercentInsiders","0.58657"
"heldPercentInstitutions","0.29548"
"impliedSharesOutstanding","1077080064"
"bookValue","3565.697"
"priceToBook","1.0278496"
"lastFiscalYearEnd","1703980800"
"nextFiscalYearEnd","1735603200"
"mostRecentQuarter","1719705600"
"earningsQuarterlyGrowth","1.154"
"netIncomeToCommon","191960023040"
"trailingEps","340.28"
"forwardEps","252.4"
"lastSplitFactor","10:1"
"lastSplitDate","1272240000"
"enterpriseToRevenue","1.663"
"enterpriseToEbitda","6.672"
"52WeekChange","0.22297299"
"SandP52WeekChange","0.26272178"
"lastDividendValue","77.5"
"lastDividendDate","1737072000"
"exchange","BVC"
"quoteType","EQUITY"
"symbol","CELSIA.CL"
"underlyingSymbol","CELSIA.CL"
"shortName","CELSIA S.A E.S.P"
"longName","CELSIA S.A. E.S.P."
"firstTradeDateEpochUtc","947255400"
"timeZoneFullName","America/New_York"
"timeZoneShortName","EST"
"uuid","989b7679-af12-3565-b3e8-f0ae4307566a"
"messageBoardId","finmb_20334656"
"gmtOffSetMilliseconds","-18000000"
"currentPrice","3665.0"
"targetHighPrice","5350.0"
"targetLowPrice","4400.0"
"targetMeanPrice","4875.0"
"targetMedianPrice","4875.0"
"recommendationKey","none"
"numberOfAnalystOpinions","2"
"totalCash","334391771136"
"totalCashPerShare","313.446"
"ebitda","1604896030720"
"totalDebt","5374510366720"
"quickRatio","0.551"
"currentRatio","0.665"
"totalRevenue","6439204028416"
"debtToEquity","102.415"
"revenuePerShare","6035.867"
"returnOnAssets","0.054250002"
"returnOnEquity","0.0552"
"revenueGrowth","0.215"
"grossMargins","0.25068"
"ebitdaMargins","0.24924"
"operatingMargins","0.19079"
"financialCurrency","COP"
"trailingPegRatio",""
